authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"M. Patzkowsky","A. Krug",,4248,J.,Jin,W.G.E.,Caldwell,"B.S. Norford",1989,"Rhynchonellid Brachiopods from the Upper Ordovician - Lower Silurian Beaverfoot and Nonda Formations of the Rocky Mountains, British Columbia","Geological Survey of Canada, Bulletin",,396,,21,42,"journal article","stated without evidence",,,,,,"2001-11-20 13:39:15","2001-11-21 08:39:15"
"M. Clapham","M. Clapham",,31757,"Y. G.",Jin,"S. Z.",Hu,,1978,"Brachiopods of the Kuhfeng Formation in south Anhui and Nanking Hills","Acta Palaeontologica Sinica",,17,2,101,127,"journal article","stated with evidence",Chinese,,,,,"2010-01-26 17:47:14","2010-01-27 12:47:14"
"M. Clapham","M. Clapham",,33905,"Y. G.",Jin,"Z. T.",Liao,"B. X. Fang",1974,"Permian brachiopods","Handbook of the Stratigraphy and Paleontology of Southwest China",,,,308,313,"book/book chapter","stated with evidence",Chinese,,,,,"2010-09-17 17:54:04","2010-09-18 10:54:04"
"M. Foote","M. Foote","M. Foote",7309,"J. G.",Johnson,,,,1975,"Late Early Devonian brachiopods from the Disappointment Bay Formation, Lowther Island, Arctic Canada","Journal of Paleontology",,49,6,947,978,"journal article","stated without evidence",,,,,,"2002-10-18 14:25:53","2002-10-19 07:25:53"
"W. Kiessling","T. Schossleitner","T. Schossleitner",17338,K.G.,Johnson,M.X.,Kirby,,2006,"The Emperador Limestone rediscovered: early miocene corals  from the Culebra Formation, Panama","Journal of Paleontology",,80,2,283,293,"journal article","stated without evidence",English,,,,,"2006-05-08 06:41:50","2006-05-08 23:43:05"
"W. Kiessling","M. Nimke",,29291,"K. G.",Johnson,"M. R.",Sanchez-Villagra,"O. A. Aguilera",2009,"The Oligocene-Miocene Transition on Coral Reefs in the Falcon Basin (NM Venezuela)",Palaios,,24,,59,69,"journal article","stated with evidence",English,,,,,"2009-03-02 06:30:27","2009-03-03 01:30:27"
"M. Clapham","M. Clapham",,46870,"R. M.",Johnston,,,,1887,"Contribution to the palaeontology of the upper Palaeozoic rocks of Tasmania","Papers and Proceedings of the Royal Society of Tasmania for 1886",,,,4,18,"journal article","stated with evidence",English,,,,,"2013-05-19 01:17:01","2013-05-19 01:17:01"
"A. Hendy","A. Hendy",,28008,"M. R.",Johnston,,,,1980,"Geology of the Tinui-Awatoitoi District","New Zealand Geological Survey Bulletin",,94,,1,62,"serial monograph","second hand",English,,,,,"2008-08-20 12:57:35","2008-08-21 05:57:35"
"M. Foote","M. Foote","M. Foote",9603,"P. A.",Johnston,,,,1993,"Lower Devonian pelecypods from southeastern Australia","Memoir of the Association of Australasian Palaeontologists",,14,,1,134,"serial monograph","stated without evidence",,,,,,"2003-12-21 11:28:24","2003-12-22 06:28:24"
"M. Foote","M. Foote","M. Foote",9598,"P. A.",Johnston,"Q. H.",Goodbody,,1988,"Middle Devonian bivalves from Melville Island, Arctic Canada","Devonian of the World, Volume III. Canadian Society of Petroleum Geologists. Calgary, Alberta, Canada","N. J. McMillan, A. F. Embry, and D. J. Glass",,,337,346,"book/book chapter","stated without evidence",,,,,,"2003-12-19 11:23:32","2003-12-20 06:23:32"
"J. Alroy","M. Sommers",,223,"M. R.",Johnston,"D. I.",Mackinnon,"G. Mew",1980,"Early Devonian (Emsian) fossils from the Lake Haupiri area, North Westland","New Zealand Journal of Geology and Geophysics",,23,,391,394,,"stated without evidence",,,,,,"1999-08-06 09:10:29","1999-08-07 02:10:29"
"M. Clapham","M. Clapham",,44100,"M. R.",Johnston,"G. R.",Stevens,,1977,"New fossil localities in the Richmond Group, Nelson","New Zealand Journal of Geology and Geophysics",,20,,567,569,"journal article","none discussed",English,,,,,"2012-12-28 12:17:02","2012-12-28 12:17:02"
"A. Hendy","A. Hendy",,29729,"D. L.",Jones,,,,1960,"Lower Cretaceous (Albian) fossils from southwestern Oregon and their paleogeographic significance","Journal of Paleontology",,34,1,152,160,"journal article","stated with evidence",English,,,,,"2009-04-16 18:05:14","2009-04-17 11:05:14"
"L. Ivany","L. Ivany",,18417,DL,Jones,,,,1963,"Upper Cretaceous (Campanian and Maestrichtian) ammonites from southern Alaska","United States Geological Survey Professional Paper",,,432,,,"serial monograph","stated without evidence",English,,,,,"2006-08-27 18:15:07","2006-08-28 11:15:07"
"A. Hendy","A. Hendy",,29732,"D. L.",Jones,,,,1966,"New Upper Cretaceous ammonite, Protexanites thompsoni, from California","Journal of Paleontology",,40,1,199,203,"journal article","stated with evidence",English,,,,,"2009-04-16 20:39:10","2009-04-17 13:39:10"
"A. Hendy","A. Hendy",,29800,"D. L.",Jones,,,,1967,"Cretaceous ammonites from the lower part of the Matanuska Formation, Southern Alaska","United States Geological Survey Professional Paper",,547,,1,49,"serial monograph","stated with evidence",English,,,,,"2009-04-23 21:12:31","2009-04-24 14:12:31"
"A. Hendy","A. Hendy",,26931,"C. C.",Jones,,,,1976,"The biology and evolution of Chione (Bivalvia: Veneridae) in the eastern coastal plains of North America","Unpublished Ph.D thesis, Harvard University, Cambridge, Massachusetts",,,,,,"Ph.D. thesis","stated without evidence",English,,,,,"2008-04-02 19:30:05","2008-04-03 13:30:05"
"S. Peters","S. Peters",,18906,B.,Jones,,,,1982,"Devonian brachiopods from the Bird Fiord Formation of the Goose Fiord area, southern Ellesmere Island, arctic Canada","Journal of Paleontology",,56,6,1397,1409,"journal article","stated with evidence",English,,,,,"2006-09-26 11:05:22","2006-09-27 04:05:22"
"M. Uhen","M. Uhen","M. Uhen",19820,"C. M.",Jones,,,,2000,"The first record of a fossil bird from East Antarctica","Paleobiology and Paleoenvironments of Eocene Rocks, McMurdo Sound, East Antarctica. Antarctic Research Series.",,76,,359,364,"journal article","stated without evidence",English,,,,,"2007-02-02 09:01:27","2007-02-03 04:01:51"
"A. Hendy","A. Hendy",,29731,"D. L.",Jones,"H. C.",Berg,,1964,"Cretaceous stratigraphy of the McCarthy A-4 Quadrangle, southern Alaska","United States Geological Survey Bulletin",,1180,A,1,18,"serial monograph","none discussed",English,,,,,"2009-04-16 19:27:04","2009-04-17 12:27:04"
"A. Hendy","A. Hendy","A. Hendy",26161,"H. A.",Jones,"R. D.",Hockey,,1964,"The geology of part of south-western Nigeria","Geological Survey of Nigeria Bulletin",,31,,1,101,"serial monograph","stated without evidence",English,,,,,"2008-01-07 18:15:40","2008-01-08 13:15:55"
"J. Alroy","J. Alroy","J. Alroy",6253,"D. S.",Jones,"B. J.",MacFadden,"S. D. Webb, P. A. Mueller, D. A. Hodell, and T. S. Cronin",1991,"Integrated geochronology of a classic Pliocene fossil site in Florida: Linking marine and terrestrial biochronologies","Journal of Geology",,99,5,637,648,"journal article","stated without evidence",English,,,,,"2002-05-16 11:01:55","2002-05-17 04:01:55"
"L. Villier","L. Villier","L. Villier",8605,D.S,Jones,R.W,Portell,,1988,"Occurrence and biogeographic significance of Heliaster (Echinodermata: Asteroidea) from the Pliocene of southwest Florida","Journal of Paleontology",,62,1,126,132,"journal article","stated without evidence",,,,,,"2003-06-02 06:11:18","2003-06-02 23:11:18"
"J. Alroy","M. Sommers",,563,"D. G.",Jones,"H. C.",Squirrell,,1969,"The discovery of the Gastrioceras subcrenulatum Marin Band at Risca, Monmouthshire","Bulletin of the Geological Survey of Great Britain",,30,,65,70,,"stated without evidence",,,,,,"2000-06-29 13:31:45","2000-06-30 06:31:45"
"A. Hendy","A. Hendy",,33145,"E. K.",Jordan,"L. G.",Hertlein,,1926,"Expedition to the Revillagigedo Islands, Mexico, in 1925, VII. Contribution to the geology and paleontology of the Tertiary of Cedros Island and adjacent parts of Lower California","Proceedings of the California Academy of Sciences",,15,14,409,464,"journal article","stated without evidence",English,,,,,"2010-07-18 10:20:08","2010-07-19 03:20:08"
"A. Miller","A. Hendy",,17318,P.,Jung,,,,1965,"Miocene Mollusca from the Paraguana Peninsula, Venezuela","Bulletins of American Paleontology",,49,223,389,652,"serial monograph","stated with evidence",English,,"Excellant locality data at local section and bed resolution, along with descriptions of individual localities. Reasonably modern nomenclature.",,,"2006-05-03 17:06:21","2006-05-04 10:06:30"
"A. Miller","A. Hendy",,17317,P.,Jung,,,,1969,"Miocene and Pliocene mollusks from Trinidad","Bulletins of American Paleontology",,55,247,293,697,"serial monograph","stated with evidence",English,,"Good locality data for individual sections and beds. Nomenclature relatively recent.",,,"2006-05-03 17:03:06","2006-05-04 10:03:15"
"A. Miller","A. Hendy",,17633,P.,Jung,,,,1969,"A Pliocene molluscan faunule from Trinidad","Bulletins of American Paleontology",,7,,85,89,"journal article","stated with evidence",English,,"Fairly modern nomenclatural usage.",,,"2006-06-04 16:09:55","2006-06-05 09:10:00"
"A. Miller","A. Hendy",,16650,P.,Jung,,,,1971,"Fossil mollusks from Carriacou, West Indies","Bulletins of American Paleontology",,61,269,1,262,"serial monograph","stated with evidence",English,,"Authoritative, up-to-date nomenclature, and excellant quality faunal lists for individual collections, together with good supplementary collection data",,,"2006-02-17 08:56:20","2006-02-18 03:56:20"
"A. Miller","A. Hendy",,17267,P.,Jung,,,,1974,"Eocene Mollusks from Curacao, West Indies","Verhandl. Naturf. Ges. Basel",,84,1,483,500,"journal article","stated with evidence",English,,,,,"2006-04-29 21:33:10","2006-04-30 14:33:10"
"A. Hendy","A. Hendy","A. Hendy",26828,P.,Jung,,,,1989,"Revision of the Strombina-group (Gastropoda; Columbellidae), fossil and living","Schweierische Paläontologische Abhandlungen",,111,,1,298,"serial monograph","stated with evidence",English,,,,,"2008-03-22 18:23:33","2008-03-23 12:23:57"
"A. Hendy","A. Hendy",,42438,P.,Jung,,,,1989,"Unpublished notes on Caribbean collection of the Naturhistorisches Museum Basel",,,,,,,unpublished,"stated without evidence",English,,,,,"2012-07-25 15:05:32","2012-07-25 15:05:32"
"A. Hendy","A. Hendy",,19070,P.,Jung,,,,1994,"Neogene Paleontology in the Northern Dominican Republic 15. The Genera Columbella, Eurypyrene, Parametaria, Conella, Nitidella, and Metulella (Gastropoda: Columbellidae)","Bulletins of American Paleontology",,106,344,1,45,"serial monograph","stated without evidence",English,,,,,"2006-10-26 19:36:59","2006-10-27 12:37:07"
"A. Hendy","A. Hendy",,25339,P.,Jung,,,,1996,"Neogene paleontology in the northern Dominican Republic: 17. The familes Cuspidariidae and Verticordiidae (Mollusca: Bivalvia)","Bulletins of American Paleontology",,110,351,35,54,"journal article","stated with evidence",English,,,,,"2007-09-19 08:20:20","2007-09-20 01:20:20"
"A. Hendy","A. Hendy",,43555,P.,Jung,"R. E.",Petit,,1990,"Neogene paleontology in the northern Dominican Republic, 10. The family Cancellariidae (Mollusca: Gastropoda)","Bulletins of American Paleontology",,98,334,87,144,"serial monograph","stated with evidence",English,,,,,"2012-11-19 15:43:02","2012-11-19 15:43:02"
"W. Kiessling","F. Reichel","U. Merkel",26037,U.,Jux,,,,1960,"Die devonischen Riffe im Rheinischen Schiefergebirge [The Devonian reefs of the Rheinisches Schiefergebirge]","Neues Jahrbuch für Geologie und Paläontologie, Abhandlungen",,110,2,186,258,"journal article","stated without evidence",German,,,,,"2007-12-12 07:12:53","2008-07-29 23:13:34"
"M. Clapham","M. Clapham",,44974,M.,Jäger,,,,1995,"Echinodermata aus dem Ober-Toarcium und Aalenium Deutschlands I. Crinoidea: Cyrtocrinina und Millericrinina","Stuttgarter Beiträge zur Naturkunde Serie B (Geologie und Paläontologie)",,226,,1,51,"serial monograph","stated with evidence",German,,,,,"2013-02-17 16:42:16","2013-02-17 16:42:16"
"M. Foote","M. Foote","P. Wagner",6185,J.,K&#345;íž,,,,1992,"Silurian field excursions: Prague Basin (Barrandian), Bohemia","National Museum of Wales, Geological Series",,13,,1,111,"book/book chapter","stated without evidence",English,,,,,"2002-05-08 19:01:29","2008-11-29 12:03:10"
"M. Foote","M. Foote","P. Wagner",6282,J.,K&#345;íž,,,,1999,"Bivalvia communities of Bohemian type from the Silurian and Lower Devonian carbonate facies","in A. J. Boucot and J. D. Lawson, eds. Paleocommunities--a case study from the Silurian and Lower Devonian. Cambridge University Press, Cambridge.",,,,229,252,"book/book chapter","stated without evidence",English,,,,,"2002-05-20 08:32:57","2008-11-29 12:02:26"
"M. Kowalewski","R. Krause","P. Wagner",14002,J.,K&#345;íž,,,,2005,"Telychian (Llandovery, Silurian) Bivalves from Spain",Palaeontology,,48,3,455,477,"journal article","stated without evidence",English,,,,,"2005-07-26 13:23:24","2008-11-29 12:02:07"
"F. Fursich","F. Fursich","F. Fursich",10111,D.,Kadolsky,,,,1975,"Zur Palaeontologie und Biostratigraphie des Tertiärs im Neuwieder Becken; I, Taxonomie und stratigraphische Bedeutung von Mollusken",,,128,,113,137,"journal article","stated without evidence",German,,,1%,,"2004-03-29 03:31:20","2004-03-29 21:31:20"
"A. Hendy","A. Hendy",,23801,"A. I.",Kafanov,K.,Ogasawara,"L. Marincovich, Jr",2001,"Checklist and bibliography of the Cenozoic Bivalvia (Mollusca) of Northeastern Asia (Russian Far East), 1968-1999","Bulletin of the Mizunami Fossil Museum",,28,,1,138,"serial monograph","stated with evidence",English,,,,,"2007-04-15 19:23:29","2007-04-16 12:23:32"
"A. Hendy","A. Hendy",,23628,"A. I.",Kafanov,K.,Ogasawara,,2003,"Neogene and Paleogene Molluscan (Bivalvia) Cenozones of Sakhalin and Kurile Islands","Science Reports, Institute of Geoscience, University of Tsukuba",,24,,45,79,"journal article","stated without evidence",English,,,,,"2007-03-22 18:26:48","2007-03-23 12:26:58"
"W. Kiessling","S. Nurnberg","S. Nurnberg",13418,"A. I.",Kafanov,K.,Ogasawara,,2004,"Neogene and Paleogene Molluscan (Bivalvia) Cenozones of the Russian Northeast.","Science Reports of the Institute of Geoscience, University of Tsukuba, Section B",,25,,9,45,"journal article","stated without evidence",,,,,,"2005-05-03 02:31:27","2005-05-03 19:31:27"
"A. Hendy","A. Hendy","A. Hendy",23622,"A. I.",Kafanov,K.,Ogasawara,"Y. Noda",2005,"Cenozoic molluscan (Bivavia) cenozone of Hokkaido, Northern Japan","Science Report, Institute of Geosciences, Univeristry of Tsukuba",,26,,1,12,"journal article","stated without evidence",English,,,,,"2007-03-22 10:05:09","2007-03-23 08:44:39"
"P. Wagner","P. Wagner",,18714,A.,Kaim,,,,2001,"Faunal dynamics of juvenile gastropods and associated organisms across the Valanginian transgression-regression cycle in central Poland","Cretaceous Research",,22,,333,351,"journal article","stated without evidence",English,,,,,"2006-09-17 10:38:45","2006-09-18 03:38:45"
"W. Kiessling","W. Kiessling",,19150,A.,Kaim,,,,2002,"Gradual evolution of the Early Cretaceous marine gastropod Rissoina lineage in central Poland","Acta Palaeontologica Polonica",,47,4,667,672,"journal article","stated without evidence",English,,,,,"2006-11-10 01:18:36","2006-11-10 20:18:43"
"M. Aberhan","S. Nurnberg","S. Nurnberg",18165,A.,Kaim,,,,2004,"The evolution of conch ontogeny in Mesozoic open sea gastropods","Palaeontologia Polonica",,62,,183pp.,,"serial monograph","stated without evidence",English,,,,,"2006-08-03 08:19:06","2006-08-04 01:21:03"
"M. Aberhan","T. Schossleitner",,45930,A.,Kaim,,,,2012,"Faunal dynamics of Gastropods in the Bathoninan (Middle Jurrasic) ore-bearing clays at Gnaszyn, Krakow-Silesia Homocline, Poland","Acta Palaeontologica Polonica",,62,3,367,380,"journal article","stated without evidence",English,10.2478/v10263-012-0020-0,,,,"2013-03-23 06:04:06","2013-03-23 06:04:06"
"W. Kiessling","U. Merkel",,19000,A.,Kaim,"A. L.",Beisel,"N. I. Kurushin",2004,"Mesozoic gastropods from Siberia and Timan (Russia). Part 1: Vetigastropoda and Caenogastropoda (exclusive of Neogastropoda)","Polish Polar Research",,25,3-4,241,266,"journal article","stated without evidence",English,,,,,"2006-10-10 04:26:40","2006-10-10 21:26:47"
"W. Kiessling","U. Merkel",,19007,A.,Kaim,"A. L.",Beisel,,2005,"Mesozoic gastropods from Siberia and Timan (Russia). Part 2: Neogastropoda and Heterobranchia","Polish Polar Research",,26,1,41,64,"journal article","stated without evidence",English,,,,,"2006-10-11 01:28:52","2006-10-11 18:29:12"
"D. Bottjer","C. Powers",,18262,A.,Kaim,B.,Jurkovsek,"T. Kolar-Jurkovsek",2006,"New associations of Carnian gastropods from Mezica region in the Karavanke Mountains of Slovenia",Facies,,52,,469,482,"journal article","stated with evidence",English,,,,,"2006-08-15 17:51:18","2006-08-16 10:51:18"
"M. Clapham","M. Clapham","P. Wagner",32514,A.,Kaim,A.,Nützel,,2011,"Dead bellerophontids walking – The short Mesozoic history of the Bellerophontoidea (Gastropoda)","Palaeogeography, Palaeoclimatology, Palaeoecology",,308,1-2,190,199,"journal article","stated with evidence",English,10.1016/j.palaeo.2010.04.008,,,,"2010-04-24 14:10:25","2011-08-10 03:09:12"
"M. Clapham","M. Clapham",,45586,A.,Kaim,A.,Nützel,"M. Hautmann, H. Bucher",2013,"Early Triassic gastropods from Salt Range, Pakistan","Bulletin of Geosciences",,88,,,,"journal article","stated with evidence",English,10.3140/bull.geosci.1395,,,,"2013-03-14 09:47:23","2013-03-14 09:47:23"
"M. Aberhan","T. Schossleitner",,45957,A.,Kaim,S.,Schneider,,2012,"A conch with a collar: early ontogeny of the enigmantic fossil bivalve Myoconcha","Journal of Paleontology",,86,4,652,658,"journal article","stated with evidence",English,,,,,"2013-03-25 21:17:32","2013-03-25 21:17:32"
"M. Aberhan","T. Schossleitner",,45956,A.,Kaim,P.,Sztajner,,2012,"Faunal dynamics of bivalves and scaphopods in the Bathonian (Middle Jurassic) ore-bearing clays at Gnaszyn, Kraków-Silesia Homocline, Poland","Acta Palaeontologica Polonica",,62,3,381,395,"journal article","stated without evidence",English,,,,,"2013-03-25 19:26:56","2013-03-25 19:26:56"
"M. Aberhan","S. Nurnberg","S. Nurnberg",19919,"M. V.",Kakabadze,"P. J.",Hoedemaeker,,1997,"New and less known Barremian-Albian Ammonites from Colombia","Scripta Geologica",,114,,57,117,"serial monograph","stated with evidence",English,,,1%,,"2007-02-16 02:40:01","2007-02-16 21:42:55"
